Student,Teacher
S_27,T_01
S_90,T_01
S_37,T_01
S_66,T_01
S_92,T_01
S_02,T_01
S_18,T_01
S_85,T_01
S_17,T_01
S_36,T_01
S_80,T_01
S_88,T_01
S_70,T_01
S_43,T_01
S_57,T_01
S_65,T_01
S_56,T_01
S_32,T_01
S_16,T_01
S_21,T_01
S_50,T_01
S_75,T_01
S_79,T_01
S_10,T_01
S_77,T_01
S_94,T_02
S_45,T_02
S_84,T_02
S_62,T_02
S_89,T_02
S_12,T_02
S_60,T_02
S_47,T_02
S_04,T_02
S_26,T_02
S_42,T_02
S_31,T_02
S_74,T_02
S_51,T_02
S_29,T_02
S_09,T_02
S_44,T_02
S_13,T_02
S_49,T_02
S_30,T_02
S_54,T_02
S_55,T_02
S_95,T_02
S_78,T_03
S_01,T_03
S_05,T_03
S_14,T_03
S_68,T_03
S_03,T_03
S_25,T_03
S_64,T_03
S_97,T_03
S_28,T_03
S_71,T_03
S_24,T_03
S_58,T_03
S_81,T_03
S_63,T_03
S_86,T_03
S_61,T_03
S_73,T_03
S_82,T_03
S_35,T_03
S_96,T_03
S_34,T_03
S_59,T_03
S_52,T_03
S_23,T_04
S_48,T_04
S_08,T_04
S_22,T_04
S_87,T_04
S_19,T_04
S_20,T_04
S_38,T_04
S_39,T_04
S_46,T_04
S_33,T_04
S_11,T_04
S_67,T_04
S_83,T_04
S_53,T_04
S_69,T_04
S_07,T_04
S_06,T_04
S_40,T_04
S_41,T_04
S_93,T_04
S_91,T_04
S_76,T_04
S_15,T_04
S_72,T_04
